x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,y
18.26,13.52,11.83,19.43,1,4,1,4,3,4,3,4,3,1,0.563955
10.225,11.095,16.45,11.69,1,4,3,4,4,3,4,4,3,3,0.513053
10.57,17.21,18.645,16.235,1,3,1,3,3,4,4,1,3,2,0.498617
17.425,10.175,18.93,10.395,1,4,1,1,3,1,4,3,4,2,0.455112
18.279999,18.57,17.08,12.175,1,4,1,3,4,4,3,4,4,1,0.433479
14.785,16.74,18.535,19.42,1,3,3,4,4,4,3,4,1,3,0.424648
17.31,12.705,17.27,14.52,1,1,3,3,1,4,4,4,3,3,0.534743
19.215,14.37,14.889999,18.275,1,4,1,4,4,4,4,4,3,2,0.522514
13.85,17.68,19.74,13.764999,1,4,1,4,4,3,3,4,1,2,0.42383
13.59,17.985,10.245,15.555,1,1,3,4,3,1,3,3,4,1,0.612872
12.94,15.43,10.75,13.095,1,4,3,1,4,3,3,4,3,3,0.731318
15.79,11.555,13.065,19.58,1,1,3,4,4,1,4,1,3,2,0.50821
15.01,14.235001,19.380001,19.805,1,4,3,3,4,4,4,1,3,1,0.545871
11.98,19.599998,15.5,18.09,1,4,3,4,4,1,3,3,1,2,0.630289
19.220001,14.975,16.005,16.275,1,3,1,1,3,4,1,4,4,1,0.514475
14.62,10.03,14.32,14.67,1,3,3,4,3,3,4,4,4,2,0.546771
13.055,15.77,11.12,19.56,1,4,1,4,4,4,3,4,4,3,0.524082
17.895,15.99,11.95,14.805,1,4,3,1,4,3,4,4,3,2,0.641375
10.575,15.705,19.41,10.68,1,3,1,3,3,3,4,4,4,3,0.473361
10.745,19.99,14.440001,16.22,1,4,3,3,3,4,4,4,4,2,0.425779
12.309999,10.765,16.75,19.395,1,4,3,1,4,4,3,3,1,3,0.701127
16.99,17.2,16.095,19.220001,1,3,3,4,1,4,1,4,4,1,0.431924
14.38,17.63,10.285,17.375,1,3,3,1,3,3,3,3,1,1,0.765207
13.235,19.875,12.585,15.165,1,4,3,4,1,3,4,3,4,2,0.618308
10.61,13.02,19.79,11.82,1,4,1,4,1,4,3,4,1,1,0.643297
11.309999,14.049999,14.165,19,1,3,3,3,1,4,1,3,4,3,0.580223
11.515,11.41,11.73,16.095,1,4,1,3,1,4,4,4,4,2,0.685011
10.5,17.355,12.014999,16.744999,1,3,1,3,4,4,1,4,1,1,0.519418
19.439999,16.965,12.155,10.49,1,4,3,3,4,4,4,3,4,2,0.713855
19.994999,19.545,10.16,13.934999,1,4,3,4,1,3,1,4,1,2,0.742887
11.805,18.325,10.22,13.695,1,4,3,4,1,3,4,4,4,3,0.769272
19.34,13.535,19.575,19.97,1,4,3,4,4,4,1,3,4,3,0.559231
16.415,18.735,15.875,10.17,1,3,3,3,3,4,4,4,3,3,0.730774
13.045,18.32,13.385,14.795,1,1,1,3,1,1,1,4,1,3,0.614156
15.86,10.12,18.4,16.82,1,4,3,3,4,4,4,3,3,2,0.721946
12.73,13.184999,19.18,16.985,1,4,3,3,3,4,1,4,4,2,0.570607
12.02,15.025,10.84,14.110001,1,1,3,3,1,4,4,3,4,2,0.552595
14.21,14.58,12.855,10.175,1,4,3,4,3,3,4,4,1,3,0.618094
14.035,18.86,12.755,15.465,1,3,3,4,4,1,3,1,4,1,0.578794
18.205,19.385,19.445,16,1,4,3,4,4,1,4,4,1,3,0.438303
12.205,10.885,13.545,19.98,1,3,3,3,4,4,4,3,3,1,0.445837
12.88,16.525,18.895,11.5,1,4,1,1,1,4,4,4,4,2,0.495166
19.55,10.805,19.865,14.65,1,1,1,4,3,1,4,3,4,3,0.410135
18.099998,12.975,17.98,12.085,1,4,1,1,3,4,4,4,3,3,0.586459
