Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
19.618303,7.0241666,15.844223,6.1579275,1,2,3,2,3,1,3,1,2,2,0.423892
10,15,5,5,1,2,1,4,4,2,2,2,4,1,0.589009
5,15,5,5,1,2,1,4,4,2,2,2,4,1,0.729484
10,10,5,10,1,2,1,4,4,4,2,2,4,1,0.802742
10,10,5,5,1,2,1,4,4,2,2,2,4,1,0.808009
5,10,5,5,1,2,1,4,4,2,2,2,4,1,0.948484
5,5,5,5,1,2,1,4,4,2,2,2,4,1,1.60628
12.989124,15,5.8768086,8.698743,1,2,1,4,4,2,4,1,2,1,0.5523
17.135775,17.632915,7.4149323,13.278224,1,4,1,4,1,1,2,2,4,2,0.459337
15.722093,15.624396,11.42513,12.142789,1,1,3,2,3,1,2,2,3,2,0.519576
6.5295715,5,8.243074,5,1,1,1,4,1,2,2,2,4,3,1.52927
7.2427177,11.974865,11.800377,15.806165,1,2,1,1,2,3,1,3,2,1,0.754929
11.87463,15.808413,19.435202,5.2103906,1,2,3,1,4,3,2,2,4,3,0.439616
5.351454,10.571755,14.05893,13.690985,1,2,1,1,4,1,2,2,1,1,1.48301
18.129417,5.1335716,14.93605,12.099454,1,1,1,4,1,2,2,1,2,1,1.33678
16.914968,20,8.657713,5,1,2,1,4,3,1,1,1,4,2,0.464545
8.906356,14.674571,8.795757,12.142789,1,1,1,2,3,3,2,2,2,1,0.909438
15.082165,11.970514,11.691257,14.723787,1,4,1,4,3,3,1,1,4,1,0.656536
10.361723,17.171486,6.7386365,12.7196455,1,3,1,4,1,2,1,2,4,1,0.536749
7.6180587,6.08788,11.930166,15.246459,1,1,3,4,3,4,3,3,2,2,0.563323
10,20,5,10,1,2,1,4,4,2,2,2,4,1,0.474242
8.323891,5.5976605,13.546026,16.341225,1,4,3,1,2,4,2,4,4,1,0.540368
8.906356,17.171486,9.195659,12.142789,1,1,3,2,3,3,2,3,3,2,0.852974
8.571524,7.046892,10.080449,9.530577,1,4,3,1,1,3,2,2,2,1,0.80863
15,20,5,10,1,2,1,4,4,2,2,2,4,1,0.427417
15,20,5,5,1,2,1,4,4,2,2,2,4,1,0.432684
15,15,5,15,1,2,1,4,4,2,2,2,4,1,0.535161
15,15,5,10,1,2,1,4,4,2,2,2,4,1,0.536917
15,15,5,5,1,2,1,4,4,2,2,2,4,1,0.542184
10,15,5,10,1,2,1,4,4,2,2,2,4,1,0.583742
19.618303,7.0241666,15.844223,6.1579275,1,2,3,2,3,1,3,1,2,2,0.423892
17.135775,15.833421,5,7.1930485,1,2,1,3,2,2,4,2,2,1,0.500249
12.669745,19.007374,19.435202,13.016208,1,2,1,4,4,2,2,2,4,1,0.460576
5.1093664,19.536856,19.083607,9.019479,1,1,1,4,1,1,4,4,4,1,1.57423
12.833437,9.496395,11.42513,12.142789,1,4,1,4,1,1,1,1,1,3,0.625394
18.320997,6.256869,12.55415,10.621012,1,1,1,4,1,1,3,2,4,3,0.439803
15,13.88899,10.856895,19.301796,1,1,1,1,2,2,2,2,2,3,0.569012
19.79054,17.397253,16.794533,16.594454,1,1,1,4,4,1,2,4,3,2,0.396219
15,8.264749,7.378393,7.9795837,1,3,1,1,1,1,1,4,1,3,0.545997
16.684536,15.298904,5,5,1,1,1,4,4,1,2,3,4,2,0.479321
15.797952,12.464414,11.42513,11.30724,1,1,1,4,1,1,1,1,2,3,0.507536
15,20,5,10,1,2,1,4,4,2,2,2,4,1,0.427417
11.033674,15.77651,13.6130085,7.1930485,1,2,1,2,2,2,2,4,2,1,0.548608
12.078953,9.496395,5.334447,5.478997,1,1,1,4,1,1,2,3,1,2,0.650115
17.549805,16.266487,11.42513,12.142789,1,1,1,2,1,1,1,3,2,3,0.457459
17.387781,17.383223,5.931293,9.019479,1,3,1,4,1,1,2,3,3,3,0.480232
18.492188,9.496395,5.334447,17.231586,1,4,1,1,4,1,3,3,3,1,0.437861
6.5295715,5,8.243074,5,1,1,1,4,1,2,2,2,4,3,1.52927
12.989124,15,18.698153,8.698743,1,3,3,1,4,3,2,4,4,1,0.446712
11.8809185,17.065912,8.761224,8.970387,1,2,1,1,3,2,2,2,4,3,0.508378
12.877206,5.0901084,5,11.400798,1,1,1,2,1,3,3,1,3,2,1.3912
16.318827,15,8.284017,18.516247,1,2,1,1,1,2,3,2,3,2,0.515188
15,20,5,5,1,2,1,4,4,2,2,2,4,1,0.432684
12.078836,12.6834345,15.656494,9.383542,1,2,3,3,4,3,3,4,2,2,0.511854
12.989124,15,5.8768086,8.698743,1,2,1,4,4,2,4,1,2,1,0.5523
17.135775,17.632915,7.4149323,13.278224,1,4,1,4,1,1,2,2,4,2,0.459337
19.79054,20,15.656519,10.621012,1,4,1,4,4,2,2,2,4,3,0.410558
11.472243,10.555355,17.658274,6.979006,1,2,3,1,4,3,4,3,1,1,0.481546
16.318827,15,15.204189,5,1,2,1,3,2,1,1,3,2,1,0.493093
11.463975,19.536856,19.083607,13.278224,1,1,1,4,1,1,4,4,4,1,0.699965
16.220755,6.5475407,9.120963,7.08339,1,1,1,1,1,1,1,1,1,2,0.482556
11.073328,11.332551,9.120963,7.08339,1,1,1,1,1,1,1,1,1,3,0.72403
17.085667,14.215281,6.6467476,16.54416,1,1,1,1,1,1,3,1,3,2,0.458337
17.085667,5.671558,6.6467476,16.076591,1,1,1,2,2,1,2,1,1,2,0.464064
18.95882,9.496395,13.717682,7.1031113,1,1,1,1,1,1,1,1,1,3,0.422886
19.79054,7.8123517,17.050602,10.621012,1,1,1,1,1,1,4,1,1,2,0.395513
19.471113,7.4341817,12.668217,10.621012,1,1,1,1,4,1,4,1,4,2,0.404256
10.884896,9.496395,12.150063,5.599876,1,1,3,1,1,3,3,3,3,3,0.666949
18.553211,11.346966,6.215714,18.729372,1,1,1,2,1,1,1,1,1,2,0.42189
19.938349,18.228659,17.929665,14.386048,1,1,1,1,1,1,2,1,1,2,0.392581
18.878307,6.752533,17.929665,6.492811,1,1,1,1,1,1,2,1,1,2,0.414625
6.05306,17.428497,9.120963,16.54416,1,1,1,1,1,1,1,1,1,2,1.29313
16.684738,9.434414,17.929665,13.006758,1,1,1,2,1,1,2,1,1,3,0.480524
7.1646323,6.5475407,14.992966,11.30803,1,1,1,1,1,1,1,1,1,2,1.09251
17.631195,18.228659,17.929665,11.5330515,1,1,1,1,1,1,4,1,1,1,0.455296
5.560895,9.12942,17.547775,11.5330515,1,1,1,1,1,1,1,1,1,3,1.44584
17.404161,10.841106,7.700966,10.837134,1,1,1,4,1,1,1,1,1,2,0.449744
19.938349,18.452324,15.700979,19.204763,1,2,1,4,1,1,1,1,2,2,0.393196
5.699439,17.559725,12.150063,5.341034,1,4,1,1,4,1,1,1,1,3,1.40906
