"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12","Column13","Column14"
"1.2308723"," 1.0644363"," 1.694522"," 1.448706"," 1.5340651"," 0.5152894","1","2","1","2","1","1","1","22.1647"
"1.0841956"," 1.7576001"," 0.5913176"," 0.5352766"," 1.4176884"," 1.3819174","3","3","2","3","1","1","2","30.8094"
"1.505706"," 1.0537664"," 1.5093374"," 0.8207761"," 0.90697694"," 1.1611372","3","3","2","2","1","1","2","60.7061"
"1.99677"," 0.7006142"," 1.380516"," 1.1475598"," 0.52703875"," 0.6264748","3","2","2","2","2","1","1","61.6616"
"1.4220293"," 1.2006631"," 0.598031"," 0.6916501"," 0.8195789"," 1.7680846","1","3","2","3","1","1","1","29.3866"
"1.7088082"," 0.6640949"," 1.3188789"," 1.547893"," 1.4264578"," 1.8902785","1","3","2","2","1","1","1","27.5136"
"1.5113953"," 1.8336736"," 0.8591051"," 1.0863168"," 1.1979052"," 0.6516283","1","1","2","2","1","1","2","27.9042"
"1.873867"," 1.3554662"," 0.819783"," 1.8203578"," 1.654902"," 1.9877768","1","3","3","2","1","1","1","26.2311"
"1.6646783"," 1.5490392"," 1.4327911"," 1.0542048"," 0.579031"," 1.5135376","3","3","2","3","1","1","2","39.1343"
"1.0397935"," 1.249459"," 0.8686734"," 1.7691321"," 0.650248"," 0.50266373","2","2","3","2","2","1","1","39.9058"
"1.6761289"," 0.8036653"," 1.3719579"," 1.0902259"," 1.2487302"," 0.66991377","3","3","1","3","2","1","2","56.4102"
"1.5331625"," 0.8036653"," 1.1134086"," 1.5419714"," 0.89636266"," 1.1598451","3","3","3","3","2","1","2","44.7901"
"1.3665679"," 1.7031021"," 0.64929116"," 0.783876"," 1.0062411"," 1.1808668","3","3","3","1","1","1","1","31.9272"
"1.0841956"," 1.6812558"," 0.74196744"," 1.4844295"," 1.4026697"," 1.3819174","2","1","2","1","1","1","1","35.5149"
"1.1414394"," 0.8197079"," 0.5819087"," 0.5991309"," 1.3884498"," 1.0068885","3","1","3","3","2","1","1","119.886"
"1.5331625"," 1.5399506"," 1.7512317"," 1.2583581"," 0.8195789"," 0.84403825","2","1","2","3","1","1","1","31.7489"
"1.2267948"," 0.9842337"," 0.8969806"," 0.7548047"," 0.5243854"," 1.1220199","2","1","3","1","1","1","1","44.0967"
"1.2308723"," 0.8521315"," 1.694522"," 1.4559456"," 1.5340651"," 0.5152894","2","3","2","2","1","1","1","52.7838"
"0.54383826"," 1.0537664"," 1.5260242"," 0.73647034"," 1.5846453"," 1.3170165","2","3","2","3","2","1","1","42.9623"
"1.2824788"," 1.0664762"," 0.74196744"," 0.88638806"," 1.4264578"," 1.1705226","1","3","3","2","1","1","1","34.2053"
"0.84140825"," 1.2398167"," 1.5245098"," 1.0902259"," 1.7971034"," 0.5969033","3","3","1","1","2","1","2","65.9603"
"1.0019755"," 1.9567726"," 0.6597933"," 1.4128928"," 1.0308801"," 1.8303347","2","3","1","3","2","1","1","35.5011"
"1.5643475"," 1.7825378"," 1.5905956"," 1.3045262"," 0.62974787"," 1.7402681","1","1","1","1","1","1","1","23.2772"
"1.2824788"," 1.0798471"," 1.7648969"," 0.95108455"," 1.4067404"," 0.88242733","2","1","2","1","2","1","1","66.3798"
"0.9881138"," 1.2398167"," 1.5245098"," 1.0902259"," 1.2487302"," 0.5969033","1","1","1","1","2","1","2","55.3562"
"1.2267948"," 0.9842337"," 0.50467646"," 0.7548047"," 1.3884498"," 1.528028","3","3","3","3","2","1","1","48.3633"
"1.0841956"," 0.8036653"," 0.74196744"," 1.4128928"," 1.0308801"," 1.3819174","3","3","1","3","1","1","1","37.7053"
"0.6121268"," 1.648097"," 0.89593625"," 0.7344489"," 1.6948328"," 1.3819174","3","3","1","3","1","1","1","27.7982"
"1.3482264"," 1.7275722"," 0.5819087"," 0.5991309"," 1.2412874"," 1.6810737","1","1","1","3","1","1","1","25.4254"
"0.6301372"," 0.6640949"," 1.1687793"," 0.9159173"," 1.0308801"," 1.3819174","3","3","2","3","2","1","1","37.6649"
"1.5331625"," 0.8036653"," 1.1134086"," 1.5419714"," 0.89636266"," 1.1598451","3","3","3","3","2","1","2","44.7901"
"1.1807272"," 1.2398167"," 1.5245098"," 1.0902259"," 1.3884498"," 1.528028","3","3","3","3","1","1","2","27.9244"
"1.533628"," 1.8497813"," 1.694522"," 1.1080725"," 1.2865878"," 0.8651693","3","3","3","3","1","1","1","43.2752"
"1.0284879"," 1.9361254"," 1.8760164"," 1.7453372"," 1.5129297"," 1.7054602","3","3","3","3","1","1","1","24.6908"
"0.89592934"," 1.7275722"," 1.61276"," 1.8482352"," 0.62974787"," 1.7472425","1","1","1","1","1","1","2","38.0887"
"1.497272"," 1.3504329"," 1.3942342"," 1.8962331"," 1.430819"," 1.6081512","3","3","3","3","2","1","2","26.7271"
"1.5331625"," 1.3459377"," 1.1134086"," 0.70987296"," 0.89636266"," 0.7369326","2","2","2","2","2","1","2","55.242"
"1.5643475"," 1.7825378"," 1.4519048"," 1.3045262"," 1.2717044"," 1.528028","3","3","3","3","2","1","1","29.956"
"1.3716489"," 1.9947313"," 0.9259608"," 1.8026499"," 0.62974787"," 0.53767335","3","3","3","3","1","1","2","97.0284"
"0.54579085"," 1.2398167"," 0.58022004"," 1.0902259"," 1.3884498"," 1.7832236","3","3","3","3","1","1","2","25.4887"
"1.5331625"," 1.4571095"," 1.1134086"," 1.1538867"," 1.4171208"," 1.9742343","3","3","3","3","2","1","1","23.6229"
"1.5643475"," 1.7825378"," 1.5905956"," 1.3045262"," 0.62974787"," 1.7402681","1","1","1","1","1","1","1","23.2772"
"1.5331625"," 1.2684588"," 0.81481075"," 1.1538867"," 1.4171208"," 1.9742343","3","3","3","3","2","1","2","23.6229"
"1.2308723"," 1.0644363"," 1.694522"," 1.448706"," 1.5340651"," 0.5152894","1","2","1","2","1","1","1","22.1647"
"1.6465887"," 1.8833492"," 1.5905956"," 0.86916685"," 0.64932764"," 0.6996187","1","1","2","1","1","1","1","22.3238"
"0.89592934"," 1.7275722"," 1.7870361"," 1.8961003"," 0.62974787"," 1.1613955","3","3","3","3","1","1","2","62.2365"
"1.8244634"," 1.8350041"," 0.94978976"," 1.6982992"," 0.62974787"," 1.1613955","3","3","3","3","1","1","2","62.2365"
"1.6224098"," 0.8036653"," 1.8760164"," 1.4128928"," 1.5129297"," 0.6544769","3","3","3","3","2","1","1","53.1708"
"0.59870255"," 1.9947313"," 1.2682525"," 0.94609153"," 1.3968582"," 0.8159138","3","3","3","3","1","1","2","43.7615"
"1.978555"," 0.7504798"," 1.156055"," 1.3045262"," 1.1448662"," 1.7402681","1","1","1","1","1","1","2","42.4264"
"1.5553663"," 1.7825378"," 1.6037674"," 0.8049915"," 1.7664249"," 1.2771062","3","3","3","3","1","1","2","27.256"
"0.89592934"," 0.5036112"," 1.8245076"," 0.96085393"," 1.4549978"," 0.605616","3","3","3","3","1","1","2","58.4478"
"1.8244634"," 1.239177"," 1.5771043"," 0.550851"," 1.6248515"," 1.0068885","3","3","3","3","1","1","2","34.3845"
"1.2308723"," 1.0644363"," 1.9516351"," 1.9575586"," 1.0462234"," 0.5152894","3","2","3","2","2","1","1","22.7495"
"1.978555"," 1.7825378"," 1.5905956"," 1.3045262"," 1.1448662"," 1.7402681","1","1","1","1","1","1","1","19.6295"
"1.7259352"," 0.9842337"," 0.7248522"," 1.1972331"," 1.2865878"," 0.8651693","3","3","3","3","2","1","2","43.2752"
"1.497272"," 1.44019"," 0.583099"," 1.2179037"," 0.73282266"," 1.0068885","3","3","3","3","1","1","2","57.2636"
"1.5331625"," 0.8036653"," 1.1134086"," 1.8962331"," 1.430819"," 1.6081512","3","3","3","3","1","1","2","26.7271"
"0.7195744"," 1.7401896"," 0.89593625"," 0.7344489"," 1.6948328"," 1.3012382","3","3","3","3","2","1","2","27.462"
"1.0545552"," 1.7275722"," 0.50467646"," 0.96085393"," 1.3635048"," 1.6081512","3","3","3","3","1","1","2","27.5314"
"1.0800521"," 1.7825378"," 1.4395515"," 1.4011981"," 0.62974787"," 0.5523163","3","3","3","3","1","1","2","94.8459"
"1.3343393"," 1.9503362"," 1.8996252"," 1.341114"," 1.9409151"," 1.3071651","3","3","3","3","2","1","1","25.2874"
"1.0656109"," 1.7382654"," 0.9247358"," 0.5226507"," 1.5227938"," 1.6115335","3","3","3","3","2","1","2","25.301"
"1.3378537"," 1.7105786"," 1.9036396"," 1.3406769"," 1.5227938"," 1.2725432","3","3","3","3","1","1","2","29.8238"
"1.3132846"," 1.2541834"," 1.1548662"," 1.3081598"," 0.7640125"," 1.4217829","1","1","1","1","1","1","2","32.6027"
"1.7066453"," 1.2541834"," 1.622819"," 1.3081598"," 0.7640125"," 1.4217829","1","1","1","1","1","1","2","28.0204"
"1.5727317"," 1.4866219"," 1.622819"," 1.2705914"," 0.7640125"," 1.5086231","1","1","1","1","1","1","1","25.9292"
"1.6401603"," 1.7248085"," 0.92464745"," 1.5813239"," 1.4504249"," 1.4348764","3","3","3","3","2","1","1","28.1343"
"0.6850718"," 1.8957667"," 1.7579"," 0.6504673"," 1.5980302"," 1.2725432","3","3","3","3","1","1","2","28.6551"
"0.7878084"," 1.4456114"," 1.4278841"," 1.6382242"," 1.5628116"," 1.4747471","3","3","3","3","1","1","1","26.587"
"1.9978867"," 0.5887945"," 1.4851272"," 0.69590807"," 1.1734769"," 1.2163012","3","3","3","3","1","1","2","35.9526"
"1.978555"," 1.9164095"," 1.5216515"," 1.7178583"," 1.3411419"," 0.8054476","1","1","1","1","1","1","2","18.9093"
"1.7926424"," 0.7406285"," 1.1315842"," 1.7178583"," 0.9411459"," 1.1971867","3","3","3","3","2","1","2","42.5376"
"1.3885868"," 1.6028231"," 0.52968794"," 1.7860594"," 0.85069954"," 0.72609794","1","1","1","1","2","1","2","27.2657"
"1.4423594"," 1.9883403"," 0.6065618"," 1.877902"," 1.178458"," 1.3071651","3","3","3","3","2","1","1","34.4884"
