x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,y
0.947,1.98125,1.2425001,1.1315,1.40375,2,5,5,5,2,5,2,5,5,5,5,1,2.04804
1.87775,0.81200004,1.16075,0.548,1.9775,5,5,5,5,5,5,2,5,5,2,5,1,5.47688
1.33325,1.1285,1.5875,1.4465001,1.379,5,5,5,5,5,2,5,2,5,2,2,2,1.90134
1.6595,0.51575,0.90875,0.6575,0.971,5,5,2,2,5,1,5,5,1,5,2,2,3.11558
1.77725,0.755,0.68225,1.814,1.2365,5,5,1,2,5,2,2,1,5,2,1,2,1.12213
1.34375,1.39025,1.2214999,1.3152499,1.952,2,5,1,5,5,1,1,5,5,5,5,2,1.58154
0.962,1.994,1.93175,1.1795,1.79525,5,5,5,5,5,5,2,2,2,1,1,2,2.03186
1.9985,0.99950004,1.34075,1.87925,1.99475,5,2,5,5,1,5,2,1,5,5,1,2,0.865533
1.916,0.56825,0.7415,1.0295,0.842,5,5,2,1,2,5,5,1,5,5,2,2,1.99663
1.48175,0.85925,0.99950004,1.03475,1.81625,5,2,5,2,5,1,2,1,5,5,5,2,1.23347
0.5345,1.99175,0.65825,1.09775,1.541,5,2,5,5,5,2,5,5,5,5,2,2,1.95989
1.71875,1.39175,0.90349996,0.66725004,1.067,5,2,2,5,5,1,5,1,5,5,5,2,3.09355
1.89275,1.9925001,0.707,1.247,1.4412501,2,5,2,5,5,5,2,5,5,5,5,1,1.8347
0.76325,1.2297499,0.515,1.349,0.635,5,5,5,5,2,5,5,5,5,2,5,1,2.25202
0.542,1.26125,1.2365,0.86,0.71375,5,5,2,5,5,5,5,5,5,5,5,1,3.73234
1.8365,0.5915,0.587,1.10825,1.6175001,5,5,5,2,5,5,5,5,2,5,5,1,2.91027
1.1600001,1.48775,0.74,1.4007499,1.37075,1,1,5,2,5,2,5,2,5,5,5,1,1.33549
1.36925,0.728,1.74125,0.584,1.59725,5,5,1,5,5,5,5,5,5,1,2,1,5.85176
1.4645,0.953,0.64024997,1.90925,0.7295,1,5,5,5,5,2,5,2,5,5,5,2,0.791729
0.82774997,0.97775,1.121,1.8335,1.5065,5,2,5,5,2,5,5,5,2,5,5,2,1.23408
1.0782499,0.86300004,1.5057501,0.74375,1.75325,5,5,2,5,5,2,2,5,5,2,5,1,3.36807
1.7615,0.58475,0.746,1.718,0.99275005,1,5,5,5,5,2,2,5,5,5,2,1,1.00332
1.46825,1.0797501,0.68975,1.62125,1.57775,5,1,1,5,5,5,5,5,5,5,2,1,1.43584
1.6295,1.88,1.4862499,0.67025,0.86525,1,2,2,2,5,5,5,5,5,5,5,1,1.81356
1.1675,1.23875,1.26275,1.54475,1.3069999,1,2,5,5,5,2,2,5,2,1,5,2,0.819645
1.625,0.6305,0.998,1.5575,1.4345,5,5,5,5,5,5,2,5,5,5,5,2,1.61892
0.67775,1.5905,1.169,1.23575,0.6095,2,1,5,5,1,5,5,5,5,1,5,2,1.70662
1.3025,1.0137501,0.98975,1.991,1.12625,5,2,5,2,2,5,5,5,5,5,2,2,1.65713
0.68375003,1.92275,0.8555,1.694,1.232,5,5,5,5,5,2,5,5,1,5,2,2,1.50743
0.69875,1.91825,0.872,0.87575,1.9895,1,5,5,5,5,5,1,1,5,5,5,1,3.23399
1.96025,1.5320001,1.21475,0.99724996,1.99025,2,5,2,5,5,5,2,2,5,2,2,2,1.09341
0.71975,1.8575,0.91625,0.78875,1.99775,1,2,5,2,5,5,5,5,2,5,2,1,1.9573
0.67625,0.80375004,1.66625,1.58525,1.36025,5,2,5,1,5,5,5,5,5,1,5,1,1.5014
1.16225,1.7457501,0.8825,1.427,1.4449999,5,2,2,2,2,5,5,1,5,2,5,1,1.10847
0.80149996,0.81875,1.391,1.87025,1.30025,2,2,2,5,5,5,2,2,5,2,1,2,2.24099
1.853,1.22825,1.7622501,1.67225,1.7195001,5,5,2,5,5,5,2,5,5,5,5,2,1.38174
1.0910001,0.72425,0.782,1.77275,0.9515,1,5,5,5,5,5,5,5,5,5,5,2,1.54619
0.536,1.37975,0.61025,1.4825001,1.298,5,1,2,2,2,5,5,5,1,2,1,2,1.15821
1.85225,1.4577501,1.69025,0.58625,1.3385,5,5,5,1,1,5,1,2,5,5,5,2,3.0112
1.6475,1.6535,1.4330001,1.95725,1.844,2,5,2,5,5,5,2,2,5,5,5,1,0.805925
0.94175,1.721,1.72325,0.89750004,1.7045,2,5,5,5,5,5,5,5,5,5,5,2,2.94825
1.97975,0.78875,1.568,1.1487501,0.96875,5,2,2,1,2,1,5,5,5,5,5,2,1.03444
0.764,1.71875,0.722,1.03475,0.52775,5,5,5,5,2,5,5,1,2,5,5,1,2.8531
0.689,1.52075,1.727,1.70525,0.7595,5,5,5,5,5,5,5,5,2,5,1,1,1.67661
1.1675,1.5815,1.724,1.3970001,1.47725,5,5,5,2,5,5,5,5,5,5,5,2,1.73105
1.82825,1.57775,1.22525,1.4525,1.6932501,2,5,2,5,5,5,2,5,1,5,5,1,1.58157
1.87325,1.934,1.0534999,0.63725,0.623,5,5,5,1,5,2,5,5,5,2,2,1,3.11592
1.577,0.8495,0.83599997,1.472,0.575,5,2,2,5,5,5,2,5,2,5,5,1,1.15446
1.82075,0.6875,1.2574999,1.07075,1.934,5,5,2,2,5,2,1,1,5,5,5,2,2.55682
1.5695,1.7277501,0.6635,1.544,1.04075,5,2,5,5,5,5,2,1,1,2,5,2,1.09762
1.40225,0.97325003,1.88525,1.721,1.17575,5,5,5,5,2,5,2,5,5,5,5,2,1.43696
1.70525,1.0145,1.87175,1.96475,0.85025,5,2,2,5,5,5,2,5,5,5,5,1,0.838341
0.66725004,1.78775,0.7355,1.4405,1.87775,5,2,5,5,5,2,1,5,5,5,5,1,1.07074
0.689,1.46375,1.619,0.9905,0.9515,5,2,5,5,5,1,2,5,5,5,5,1,1.68114
1.76525,0.98300004,1.69775,1.15475,1.8275,2,2,1,2,5,5,5,5,5,5,5,2,2.24159
0.6455,1.44875,0.83599997,1.118,1.5605,5,5,2,2,5,2,5,5,2,2,5,1,1.89416
