Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
7.6674986,6.112002,5.684263,1,1,4,2,5.10344
4.8139496,7.497086,7.402489,1,1,4,2,9.03003
5.2673817,6.781696,7.1761136,3,1,3,1,2.80733
2.432859,4.068493,6.2527094,1,3,4,1,11.2701
5.6785636,3.6683526,7.184104,1,1,4,1,4.40872
2.432859,4.068493,5.5399075,3,1,4,1,9.37457
7.685497,5.4803133,3.5953355,4,3,3,2,2.84054
3.0735188,4.84251,4.9461656,1,3,3,1,6.67836
5.2673817,6.781696,2.1340768,3,1,3,1,4.00913
7.6674986,4.6710873,5.6380796,4,1,4,1,15.9111
5.403833,3.5462692,7.2569237,3,1,3,2,3.34154
3.2310228,7.016627,7.8575373,4,1,4,1,3.50321
5.2673817,6.781696,7.1761136,3,1,1,2,5.68949
7.989978,6.366955,3.1748457,1,3,1,1,3.01142
7.391206,2.537775,7.8848777,1,1,3,1,2.11547
5.403833,3.5462692,7.2569237,3,1,3,2,3.34154
3.9676356,3.7425084,3.5953355,4,3,1,1,7.30977
7.6674986,7.016627,5.6380796,4,1,4,1,2.69403
6.7424884,6.830299,3.7788668,4,3,1,1,2.4985
5.38282,7.02643,5.511693,4,1,4,2,7.29546
5.403833,3.4951642,7.2569237,3,1,3,1,2.73844
6.4428105,7.778255,2.210164,4,1,3,2,9.03809
3.9676356,3.7425084,3.893968,4,1,3,2,5.99097
3.9676356,3.7425084,3.5953355,4,3,1,1,7.30977
6.7424884,6.830299,3.7788668,4,3,1,1,2.4985
3.9676356,3.7425084,3.5953355,4,3,1,1,7.30977
2.8000572,6.056489,5.2298717,3,3,3,2,2.19527
3.211833,3.9045753,4.215406,4,4,4,1,8.54376
6.4428105,7.778255,2.210164,1,1,3,2,10.6965
7.840744,6.7698126,7.4315557,1,4,3,1,1.77099
7.840744,3.977581,7.2569237,1,1,3,1,2.03143
7.6674986,3.977581,7.2569237,1,1,3,2,3.61912
7.840744,6.7698126,7.4315557,1,4,3,2,2.18103
7.25461,7.094287,7.2569237,1,3,3,1,2.14404
7.25461,7.094287,7.2569237,1,3,3,1,2.14404
7.840744,7.397751,7.4315557,3,3,1,1,2.10499
7.840744,6.7698126,7.4315557,1,4,3,2,2.18103
7.840744,7.397751,7.4315557,3,3,1,1,2.10499
5.403833,5.1663175,7.4315557,1,1,3,1,4.08642
7.840744,3.977581,7.2569237,1,1,3,1,2.03143
3.0887222,4.4261055,2.8573656,1,3,4,1,6.46388
7.840744,6.8526697,7.4315557,3,1,1,2,2.90034
7.840744,6.7698126,7.4315557,1,4,3,1,1.77099
7.6674986,7.4360776,2.4699216,1,1,4,2,3.64921
5.6770353,6.5794244,3.1341553,1,3,1,2,5.29099
7.840744,6.7698126,7.4315557,1,4,3,2,2.18103
7.840744,6.8526697,7.4315557,3,1,1,2,2.90034
7.840744,4.5275927,7.4315557,1,4,3,1,2.83442
7.840744,6.7698126,7.369758,3,1,3,1,3.86355
7.840744,3.977581,7.4315557,3,3,4,2,4.43192
7.840744,6.7698126,7.4315557,1,4,3,2,2.18103
5.403833,6.7698126,7.475915,1,1,4,1,3.61767
7.840744,5.1663175,7.4315557,1,1,3,1,2.0124
7.840744,3.7771091,7.670867,1,4,1,2,4.11318
7.840744,6.7698126,7.4315557,1,4,1,2,2.69963
7.840744,6.7698126,7.4315557,1,3,4,1,1.80374
7.840744,6.7698126,7.4315557,1,4,3,1,1.77099
7.840744,6.7698126,7.4315557,1,4,1,2,2.69963
7.840744,6.7698126,7.4315557,1,4,3,2,2.18103
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
7.9622126,5.804309,7.9349937,3,1,4,1,2.1372
7.918825,7.9546375,5.279275,4,1,3,1,2.05327
7.918825,6.6654596,7.737747,4,4,1,2,3.58601
7.918825,7.9546375,7.5707426,4,1,3,1,1.79992
7.918825,7.9546375,7.9349937,4,1,4,1,8.30982
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
7.918825,7.9546375,7.5707426,4,1,3,1,1.79992
7.918825,7.9546375,5.279275,4,1,3,1,2.05327
7.918825,5.804309,7.9349937,1,1,3,1,1.93569
5.3566313,5.804309,7.9349937,4,1,3,1,2.23422
5.855215,7.9546375,7.9349937,4,1,3,1,3.19371
7.918825,5.804309,7.9349937,1,1,3,1,1.93569
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
7.918825,7.9546375,7.9349937,4,4,3,1,1.92553
7.918825,7.9546375,7.9333153,4,1,3,1,1.6308
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
7.918825,7.9546375,7.7702785,4,4,3,1,1.94049
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
7.9622126,7.5350375,7.27676,3,4,1,2,2.08285
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
7.9622126,7.5350375,7.27676,3,4,1,2,2.08285
7.918825,7.9546375,7.9349937,4,4,3,1,1.92553
7.918825,2.1822252,7.9349937,4,1,3,1,22.984
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
7.918825,7.9546375,7.9349937,3,3,4,1,1.92935
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
7.9622126,7.5350375,7.27676,3,4,1,1,2.58528
7.918825,7.9546375,7.5707426,4,1,3,1,1.79992
7.918825,7.9546375,7.7702785,4,4,3,1,1.94049
7.9622126,5.367629,7.27676,3,1,1,2,2.85651
7.918825,7.9546375,5.279275,4,1,3,1,2.05327
7.918825,7.9546375,7.9349937,4,4,3,1,1.92553
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
7.9622126,7.5350375,7.27676,3,4,1,2,2.08285
7.918825,7.9546375,5.279275,4,1,3,1,2.05327
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
4.572329,7.9546375,7.9349937,1,3,1,1,2.34925
7.918825,3.7704916,7.9349937,4,1,3,1,3.22145
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
7.918825,7.9546375,7.9349937,4,4,3,1,1.92553
7.918825,7.9546375,7.9349937,4,4,3,1,1.92553
5.3566313,5.804309,7.9349937,4,1,3,1,2.23422
5.042189,5.436442,7.9349937,4,1,3,1,4.35865
7.918825,7.9546375,7.9349937,3,1,3,1,2.17884
7.918825,7.9546375,7.5707426,4,1,3,1,1.79992
7.918825,7.9546375,7.9349937,3,1,3,1,2.17884
3.4839096,5.804309,5.279275,4,1,3,1,3.1921
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
7.918825,7.9546375,5.279275,4,1,3,1,2.05327
7.918825,7.9546375,5.279275,4,1,1,1,3.01654
7.918825,5.804309,7.9349937,1,1,3,1,1.93569
7.918825,7.9546375,7.5707426,4,1,3,1,1.79992
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
7.918825,6.568793,7.7702785,4,1,3,1,2.14726
5.042189,5.436442,7.9349937,4,1,3,1,4.35865
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
7.918825,7.9546375,5.279275,4,1,3,1,2.05327
7.918825,7.9546375,7.5707426,4,1,4,1,2.1706
5.042189,5.436442,7.9349937,4,1,3,1,4.35865
7.918825,7.9546375,7.9349937,4,4,3,1,1.92553
7.918825,7.9546375,5.279275,4,1,1,1,3.01654
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
7.918825,3.7704916,7.9349937,1,4,1,1,2.76058
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
5.3566313,5.804309,7.9349937,4,1,3,1,2.23422
7.918825,7.072935,6.6537127,4,1,4,1,2.47838
7.9622126,7.5350375,7.27676,3,4,1,2,2.08285
7.918825,7.9546375,5.279275,4,1,3,1,2.05327
7.918825,7.9546375,7.9349937,3,1,3,1,2.17884
7.918825,3.7704916,7.9349937,1,4,1,1,2.76058
7.918825,7.9546375,7.7702785,4,4,3,1,1.94049
7.918825,7.9546375,7.5707426,4,1,3,1,1.79992
7.918825,7.9546375,5.279275,4,1,3,1,2.05327
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
7.9622126,7.9546375,3.4909983,4,1,4,1,2.16831
7.918825,7.472964,7.9349937,4,1,3,1,2.29803
4.8199515,7.9546375,7.9349937,1,4,3,1,2.96848
7.918825,7.9546375,7.5707426,4,1,4,1,2.1706
7.9622126,7.5350375,7.27676,3,4,1,2,2.08285
7.918825,7.9546375,7.9349937,3,1,3,1,2.17884
7.918825,7.9546375,7.27676,3,1,1,2,145.365
7.918825,7.9546375,5.279275,4,1,3,1,2.05327
7.918825,7.9546375,7.9349937,4,4,3,1,1.92553
7.9622126,7.9546375,3.4909983,4,1,4,1,2.16831
4.8199515,7.9546375,7.9349937,1,4,3,1,2.96848
7.918825,7.9546375,7.9349937,4,1,3,1,1.63065
7.918825,7.9546375,7.5707426,4,1,4,1,2.1706
7.918825,7.9546375,5.279275,4,1,1,1,3.16743
7.918825,7.9546375,5.279275,4,1,3,1,2.05327
