x1,x2,x3,x4,x5,x6,x7,y
6.092,2.744,3.839,3,3,3,2,2.99062
2.018,6.185,6.557,4,3,1,2,14.3947
5.108,3.014,7.811,4,4,4,2,3.80922
5.5550003,2.642,6.815,4,4,4,1,3.73997
6.974,6.464,2.066,3,1,3,1,4.01314
6.8450003,5.957,2.156,4,4,3,1,10.7102
7.82,4.649,4.667,4,1,3,1,3.10491
2.723,6.959,5.45,4,4,4,2,9.41265
3.413,2.219,2.849,3,4,4,1,4.08419
5.849,7.454,6.554,4,4,1,1,2.36851
7.874,7.877,3.29,4,1,4,2,2.52662
4.175,4.352,6.53,4,1,4,2,14.1117
2.5310001,7.001,7.112,1,1,4,1,3.05611
4.403,3.398,4.874,1,4,1,2,14.1926
5.252,3.431,5.7980003,4,3,1,1,4.35417
2.627,5.4440002,6.695,3,1,4,2,8.21875
7.337,5.354,2.546,3,1,3,1,3.31344
4.6940002,5.204,6.977,3,4,3,2,3.59763
6.9110003,3.395,3.668,1,4,4,2,2.81217
7.058,4.067,4.847,3,4,4,2,24.303
4.9820004,2.336,5.6540003,1,1,4,2,14.0114
6.725,7.547,4.658,3,1,4,1,2.5816
3.389,4.808,5.5220003,3,1,4,2,5.19755
2.648,6.704,7.205,1,4,3,2,7.71128
2.459,5.477,2.276,3,4,4,2,18.8481
4.3970003,6.863,3.6859999,3,4,4,1,3.89054
4.052,5.375,4.613,1,1,4,1,8.49645
5.351,7.076,4.205,1,4,4,2,3.45565
3.407,3.8990002,7.508,4,3,1,1,4.62008
4.793,5.609,2.072,1,3,1,2,62.7044
6.959,4.073,7.964,1,4,3,1,2.24286
7.142,5.6210003,3.851,3,3,4,1,10.7567
3.665,4.175,2.324,1,3,3,1,3.6518
3.113,7.193,5.186,1,4,4,1,4.99727
7.883,7.58,3.8330002,3,4,4,1,3.47125
3.335,5.858,3.5,4,3,3,2,2.85014
7.094,6.032,7.37,1,4,4,2,4.06832
2.957,5.84,6.0950003,1,1,4,2,3.33167
6.743,4.769,6.512,4,1,4,2,8.15667
5.123,7.931,7.3190002,1,4,4,2,3.08325
