x1,x2,x3,x4,x5,x6,x7,y
5.873,4.001,2.426,4,4,4,1,2.46963
4.457,6.881,2.711,3,1,3,2,3.70496
6.5030003,3.113,6.356,3,3,3,2,18.6411
6.701,4.334,3.716,1,4,4,1,5.08882
7.6280003,7.52,5.045,1,3,4,2,2.66967
3.0440001,5.906,3.1100001,4,4,1,1,5.05584
3.74,5.711,6.716,4,4,3,1,3.27049
7.7990003,7.025,4.823,4,1,4,1,2.68086
7.01,6.203,6.509,4,3,3,1,2.61661
6.551,2.963,7.133,1,4,4,2,3.16521
4.985,2.129,4.58,4,4,4,2,5.39267
6.6410003,6.269,4.352,4,3,1,1,2.45322
5.1619997,6.059,7.052,3,4,4,1,2.69778
7.442,6.683,3.917,3,3,4,1,9.65938
6.434,2.051,4.784,4,4,4,2,5.59776
6.9440002,2.261,2.924,3,3,4,1,3.75827
7.691,3.7849998,4.61,1,1,1,1,3.58358
6.02,3.266,7.823,1,3,1,2,4.00804
5.4230003,4.538,2.612,1,4,4,2,10.5644
4.502,7.772,2.762,1,4,3,2,5.74024
5.1949997,3.1100001,2.027,1,1,3,1,15.3534
2.165,2.615,3.5180001,4,3,4,1,3.59101
5.342,4.8859997,4.184,4,4,3,2,10.4816
4.5889997,2.174,6.683,4,4,4,1,4.54508
4.946,3.7940001,4.712,4,4,3,2,2.8774
2.831,3.224,2.051,4,4,4,1,3.06483
5.999,4.4779997,3.464,4,3,4,1,11.2446
6.647,5.252,2.687,1,4,1,2,3.84015
4.862,6.317,2.909,3,3,3,1,3.3967
2.795,3.4850001,4.325,1,4,1,1,3.41323
2.687,2.795,6.779,1,3,4,1,9.59971
5.789,7.04,6.974,4,4,1,2,3.5101
6.305,6.275,3.6290002,3,4,3,1,2.49192
4.55,4.6219997,2.105,4,1,1,2,10.7828
6.047,4.0039997,2.177,4,3,1,1,5.30722
4.691,4.634,3.2480001,1,1,1,1,2.10637
6.167,5.5880003,7.706,4,4,3,1,3.2867
2.345,7.367,7.178,4,4,4,2,7.04708
7.493,3.6230001,2.9,3,1,3,2,3.16149
2.069,6.824,3.3140001,3,4,4,2,5.4888
4.61,7.472,6.563,4,4,1,1,2.72801
2.159,3.926,7.337,4,1,4,1,42.8683
3.3769999,7.151,4.2650003,1,4,4,2,5.11857
4.9490004,6.29,2.786,4,1,3,1,4.94304
3.707,2.897,4.91,1,4,1,1,2.89452
5.6660004,3.587,5.153,4,4,4,2,3.20072
5.642,5.9,4.118,3,4,1,2,3.8518
6.0950003,4.943,4.442,3,4,3,1,11.3459
6.44,7.031,2.7649999,3,3,4,2,3.41862
6.524,6.722,7.4,4,3,1,2,2.35985
7.043,7.607,7.196,4,3,4,2,2.74039
5.2609997,4.67,3.701,4,4,4,2,2.45846
3.902,2.039,5.816,4,3,4,2,4.40471
6.509,6.131,2.744,3,1,4,1,6.67092
4.724,7.601,7.613,4,1,1,1,4.02767
5.105,6.212,2.318,3,4,4,1,14.4207
